epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.4975,1.78318,3.87747,1.65081,0.51796,0.17073,0.18352,0.13001,1.34161,3.34564,1.35228,2e-05,2e-05,2e-05
2,113.463,1.5079,3.28917,1.55116,0.46563,0.40397,0.38616,0.24072,1.32331,3.60753,1.33163,5.7624e-05,5.7624e-05,5.7624e-05
3,162.362,1.59539,3.08361,1.47746,0.78457,0.39024,0.53948,0.33782,1.24217,5.10054,1.27981,9.208e-05,9.208e-05,9.208e-05
4,208.541,1.50821,2.23024,1.49526,0.65733,0.53659,0.59597,0.37039,1.18932,6.0973,1.16422,0.000123368,0.000123368,0.000123368
5,253.727,1.19331,1.88362,1.21594,0.65219,0.58537,0.62327,0.38423,1.1848,6.63405,1.1525,0.000151488,0.000151488,0.000151488
6,300.158,1.43224,2.39637,1.43175,0.51922,0.46341,0.51032,0.329,1.2649,6.47996,1.19771,0.00017644,0.00017644,0.00017644
7,350.311,1.25777,1.65508,1.22601,0.5243,0.73171,0.57812,0.36448,1.25503,5.65453,1.18844,0.000198224,0.000198224,0.000198224
8,402.198,1.3657,1.77035,1.32027,0.62338,0.65854,0.63419,0.43541,1.32781,3.68994,1.2074,0.00021684,0.00021684,0.00021684
9,452.966,1.27666,1.48126,1.17256,0.73823,0.63415,0.61338,0.41594,1.32117,3.53969,1.20083,0.000232288,0.000232288,0.000232288
10,502.231,1.35789,1.50756,1.27383,0.9174,0.26829,0.3617,0.28337,1.28507,5.00776,1.18284,0.000244568,0.000244568,0.000244568
11,552.599,1.32494,1.36309,1.15849,0.76679,0.72192,0.7787,0.52921,1.24592,1.95635,1.17519,0.00025368,0.00025368,0.00025368
12,601.319,1.2402,1.14852,1.28888,0.73593,0.6798,0.77646,0.51228,1.23729,1.95451,1.18671,0.000259624,0.000259624,0.000259624
13,825.763,1.11333,1.2882,1.26345,0.68692,0.74931,0.776,0.51175,1.21311,1.96347,1.15196,0.0002624,0.0002624,0.0002624
14,892.395,1.11277,1.19191,1.2303,0.73891,0.80488,0.80306,0.53563,1.14528,2.11535,1.0993,0.000262008,0.000262008,0.000262008
15,950.606,1.34025,1.0537,1.18973,0.90229,0.5122,0.63022,0.47038,1.06131,2.79338,1.03457,0.000258448,0.000258448,0.000258448
16,1008.05,0.96996,1.13682,1.08634,0.93002,0.64853,0.72997,0.5356,0.99306,2.79732,0.98962,0.00025172,0.00025172,0.00025172
17,1056.15,1.13181,1.08997,1.12042,0.92241,0.87001,0.93441,0.68193,0.96055,1.95905,0.9813,0.000241824,0.000241824,0.000241824
18,1104.82,0.98478,1.02829,1.03798,0.9294,0.87805,0.95015,0.69749,0.94714,1.69181,0.97734,0.00022876,0.00022876,0.00022876
19,1160.33,1.16353,0.98653,1.08518,0.92805,0.90244,0.95858,0.7043,0.93168,1.46631,0.97535,0.000212528,0.000212528,0.000212528
20,1221.6,0.91113,0.92861,0.99215,0.94596,0.85394,0.95426,0.70366,0.92414,1.41737,0.98799,0.000193128,0.000193128,0.000193128
21,1281.38,0.9091,0.92357,1.0035,0.18611,0.87805,0.38562,0.31085,0.93944,3.18749,0.99156,0.00017056,0.00017056,0.00017056
22,1331.34,0.90134,0.87584,0.97172,0.94995,0.92589,0.95901,0.71649,0.9318,1.24524,0.98097,0.000144824,0.000144824,0.000144824
23,1378.45,0.96431,0.78973,1.06056,0.88521,1,0.98362,0.74949,0.91504,1.02336,0.97084,0.00011592,0.00011592,0.00011592
24,1425.94,0.82574,0.83607,0.97181,0.9253,1,0.98656,0.75379,0.89151,0.94244,0.96173,8.3848e-05,8.3848e-05,8.3848e-05
25,1470.77,0.8733,0.77358,1.04308,0.92586,1,0.9903,0.76512,0.86268,0.89524,0.95581,4.8608e-05,4.8608e-05,4.8608e-05
