epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8764,1.57767,3.22686,1.4583,0.00407,0.80488,0.07735,0.02915,1.39367,3.66003,1.34822,2e-05,2e-05,2e-05
2,60.7774,1.43748,3.23091,1.41153,0.00432,0.85366,0.1305,0.07881,1.32684,3.5993,1.30021,4.812e-05,4.812e-05,4.812e-05
3,82.3766,1.64407,3.3947,1.43708,0.00432,0.85366,0.23085,0.13498,1.27391,3.55093,1.25755,6.04e-05,6.04e-05,6.04e-05
4,103.356,1.56482,3.05308,1.44747,0.00469,0.92683,0.26253,0.18023,1.22048,3.5023,1.22409,5.684e-05,5.684e-05,5.684e-05
5,123.412,1.29082,2.90917,1.23792,0.00469,0.92683,0.30258,0.18859,1.15384,3.47968,1.17906,3.744e-05,3.744e-05,3.744e-05
