epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.611,1.70425,3.35688,1.67246,0.44044,0.29268,0.25248,0.141,1.47009,2.89443,1.43046,2e-05,2e-05,2e-05
2,266.072,1.51167,2.4276,1.58206,0.65353,0.4878,0.49015,0.34108,1.34147,2.22317,1.38382,5.7624e-05,5.7624e-05,5.7624e-05
3,408.88,1.55065,2.1545,1.46694,0.85541,0.56098,0.68492,0.42482,1.25631,1.71565,1.35848,9.208e-05,9.208e-05,9.208e-05
4,552.527,1.45803,1.80618,1.49318,0.72941,0.65854,0.69622,0.44879,1.19831,1.86806,1.29651,0.000123368,0.000123368,0.000123368
5,685.941,1.11099,1.27273,1.21148,0.80564,0.68293,0.78771,0.5218,1.12332,1.95878,1.24347,0.000151488,0.000151488,0.000151488
6,1110.29,1.3663,1.53892,1.46387,0.76857,0.64818,0.71379,0.48738,1.14237,2.35894,1.28512,0.00017644,0.00017644,0.00017644
7,1218.64,1.18356,1.4331,1.26604,0.86701,0.68293,0.78467,0.54008,1.11707,1.59329,1.28648,0.000198224,0.000198224,0.000198224
8,1331.74,1.2236,1.35224,1.3702,0.80906,0.7561,0.83462,0.54554,1.18953,1.47602,1.34069,0.00021684,0.00021684,0.00021684
9,1454.21,1.2142,1.25898,1.25942,0.86712,0.63672,0.75614,0.49109,1.25334,1.72454,1.41298,0.000232288,0.000232288,0.000232288
10,1577.4,1.26909,1.10878,1.30454,0.84359,0.65778,0.74912,0.47848,1.15749,1.88105,1.33279,0.000244568,0.000244568,0.000244568
11,11258.9,1.19144,1.11513,1.18542,0.87267,0.70732,0.77272,0.50929,1.13764,1.8172,1.289,0.00025368,0.00025368,0.00025368
12,11423.4,1.14326,1.02113,1.30026,0.83444,0.73772,0.80804,0.55787,1.10741,1.53751,1.23795,0.000259624,0.000259624,0.000259624
13,11591.3,0.99414,1.20123,1.27563,0.79542,0.7587,0.81614,0.51533,1.16618,1.35357,1.23397,0.0002624,0.0002624,0.0002624
14,11754.9,1.08015,1.07528,1.32075,0.72233,0.60976,0.67676,0.4341,1.18657,1.56251,1.26375,0.000262008,0.000262008,0.000262008
15,11886.4,1.1515,0.98331,1.17035,0.78299,0.68293,0.80107,0.54604,1.0827,1.14035,1.22378,0.000258448,0.000258448,0.000258448
16,12000.2,0.94261,0.86426,1.13261,0.91107,1,0.98985,0.72518,0.96225,0.86681,1.14741,0.00025172,0.00025172,0.00025172
17,12130.6,0.96943,1.02719,1.18449,0.91932,0.92683,0.98185,0.73963,0.88471,1.17894,1.1264,0.000241824,0.000241824,0.000241824
18,12251,0.88259,0.8726,1.08585,0.8443,0.79373,0.90851,0.68283,0.91336,1.20334,1.12479,0.00022876,0.00022876,0.00022876
19,12370.1,1.03205,0.91136,1.14468,0.91289,0.7561,0.92162,0.70866,0.85679,1.08143,1.0828,0.000212528,0.000212528,0.000212528
20,12477.7,0.88364,0.92682,1.06875,0.84412,0.92683,0.93156,0.74652,0.80951,1.04612,1.04729,0.000193128,0.000193128,0.000193128
21,12593.2,0.83128,0.72022,1.06477,0.89398,0.90244,0.93279,0.7714,0.7751,1.0662,1.04368,0.00017056,0.00017056,0.00017056
22,12695.1,0.85555,0.78544,1.01445,0.95142,0.97561,0.96857,0.79231,0.76651,1.03689,1.03047,0.000144824,0.000144824,0.000144824
23,12800.3,0.89411,0.6877,1.1388,0.97908,0.92683,0.98938,0.80361,0.7973,0.93692,1.03426,0.00011592,0.00011592,0.00011592
24,12894.5,0.79057,0.6363,0.98659,0.97618,0.99936,0.99405,0.79946,0.81026,0.86693,1.0361,8.3848e-05,8.3848e-05,8.3848e-05
25,12999,0.81269,0.66342,1.08535,0.97604,0.99362,0.99452,0.78236,0.81772,0.79434,1.03766,4.8608e-05,4.8608e-05,4.8608e-05
